# Temperatura_=_89.47
# Concentracion g/m^3_=_24000.0
# C_Vs_to_Am_M_A/Vsm_=_65563218390.804596
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0
# frecuencia_Hz_=_301522.64472087746

Tiempo_(s)	Campo_(V.s)	Magnetizacion_(V.s)	Campo_(kA/m)	Magnetizacion_(A/m)
0.000000e+00	-8.391946e-06	-2.087684e-08	-5.690834e+01	-1.365537e+03
1.000000e-08	-8.388772e-06	-2.087412e-08	-5.688682e+01	-1.365360e+03
2.000000e-08	-8.382867e-06	-2.086942e-08	-5.684677e+01	-1.365260e+03
3.000000e-08	-8.374125e-06	-2.086637e-08	-5.678749e+01	-1.365216e+03
4.000000e-08	-8.362425e-06	-2.086554e-08	-5.670815e+01	-1.365178e+03
5.000000e-08	-8.347675e-06	-2.085973e-08	-5.660813e+01	-1.365077e+03
6.000000e-08	-8.329984e-06	-2.084802e-08	-5.648816e+01	-1.364851e+03
7.000000e-08	-8.309749e-06	-2.082624e-08	-5.635094e+01	-1.364460e+03
8.000000e-08	-8.286808e-06	-2.083179e-08	-5.619537e+01	-1.363902e+03
9.000000e-08	-8.260577e-06	-2.085928e-08	-5.601748e+01	-1.363211e+03
1.000000e-07	-8.231032e-06	-2.084615e-08	-5.581713e+01	-1.362457e+03
1.100000e-07	-8.198508e-06	-2.082156e-08	-5.559658e+01	-1.361718e+03
1.200000e-07	-8.163152e-06	-2.082035e-08	-5.535682e+01	-1.361070e+03
1.300000e-07	-8.125250e-06	-2.081831e-08	-5.509979e+01	-1.360558e+03
1.400000e-07	-8.085010e-06	-2.075547e-08	-5.482692e+01	-1.360189e+03
1.500000e-07	-8.042225e-06	-2.072738e-08	-5.453677e+01	-1.359929e+03
1.600000e-07	-7.996493e-06	-2.078451e-08	-5.422665e+01	-1.359712e+03
1.700000e-07	-7.947691e-06	-2.071968e-08	-5.389571e+01	-1.359456e+03
1.800000e-07	-7.895869e-06	-2.073366e-08	-5.354429e+01	-1.359083e+03
1.900000e-07	-7.841071e-06	-2.077154e-08	-5.317269e+01	-1.358539e+03
2.000000e-07	-7.783376e-06	-2.075781e-08	-5.278144e+01	-1.357801e+03
